book_id,title,subtitle,authors,publisher,published_date,print_type,page_count,language,categories,isbn_10,isbn_13,is_ebook,list_price_amount,retail_price_amount,currency,text_to_speech_permission,epub_available,pdf_available
Z7WbEAAAQBAJ,Machine Learning for Cyber Security,N/A,"Preeti Malik, Lata Nautiyal, Mangey Ram",Walter de Gruyter GmbH & Co KG,,BOOK,158,en,"Business & Economics / Industries / Computers & Information Technology, Computers / Artificial Intelligence / General, Computers / Programming / Algorithms, Computers / Security / General, Mathematics / Applied, Technology & Engineering / Electrical, Technology & Engineering / Engineering (General), Computers / Information Technology, Science / Philosophy & Social Aspects",3110766760,9783110766769,,6104752,4273326,VND,ALLOWED,TRUE,TRUE
IynFEAAAQBAJ,Artificial Intelligence and Cyber Security in Industry 4.0,N/A,"Velliangiri Sarveshwaran, Joy Iong-Zong Chen, Danilo Pelusi",Springer Nature,,BOOK,373,en,"Computers / Artificial Intelligence / General, Computers / Networking / General, Computers / Database Administration & Management, Mathematics / Probability & Statistics / General, Technology & Engineering / Engineering (General), Technology & Engineering / Mobile & Wireless Communications, Computers / Information Technology, Computers / General, Technology & Engineering / General, Technology & Engineering / Electrical",9819921155,9789819921157,,1879379,1315565,VND,ALLOWED,TRUE,TRUE
YEEAEAAAQBAJ,Python Machine Learning,"A Practical Beginner's Guide to Understanding Machine Learning, Deep Learning and Neural Networks with Python, Scikit-Learn, Tensorflow and Keras",Railey Brandon,Roland Bind,,BOOK,130,en,"Computers / Languages / Python, Computers / Machine Theory, Computers / Data Science / Data Modeling & Design",,,,106700,80025,VND,ALLOWED,TRUE,TRUE
ctM-EAAAQBAJ,Machine Learning,N/A,Zhi-Hua Zhou,Springer Nature,,BOOK,459,en,"Mathematics / Probability & Statistics / General, Computers / Artificial Intelligence / General, Computers / Data Science / Data Analytics, Computers / Computer Science, Mathematics / Applied, Computers / Information Technology, Computers / Artificial Intelligence / Expert Systems, Mathematics / Discrete Mathematics",9811519676,9789811519673,,2050259,1435181,VND,ALLOWED,TRUE,TRUE
kZySEQAAQBAJ,An Introduction to Artificial Intelligence and Machine Learning,N/A,Manikandan Paneerselvam,S. Chand Publishing,,BOOK,288,en,N/A,9358703954,9789358703955,,716077,501254,VND,ALLOWED,FALSE,TRUE
RRjzDwAAQBAJ,Intelligence in Big Data Technologies—Beyond the Hype,Proceedings of ICBDCC 2019,"J. Dinesh Peter, Steven L. Fernandes, Amir H. Alavi",Springer Nature,,BOOK,636,en,"Computers / Artificial Intelligence / General, Technology & Engineering / Engineering (General), Computers / Database Administration & Management, Mathematics / Probability & Statistics / General, Technology & Engineering / Telecommunications, Technology & Engineering / General",9811552851,9789811552854,,6834923,4784446,VND,ALLOWED,TRUE,TRUE
cknREAAAQBAJ,Learning Java,N/A,"Marc Loy, Patrick Niemeyer, Daniel Leuck","O'Reilly Media, Inc.",,BOOK,552,en,"Computers / Programming / Object Oriented, Computers / Languages / Java, Computers / Internet / Web Services & APIs",109814550X,9781098145507,,1405239,1405239,VND,ALLOWED,FALSE,TRUE
1HxWGezDZcgC,Learning Python,Powerful Object-Oriented Programming,Mark Lutz,"O'Reilly Media, Inc.",,BOOK,1216,en,"Computers / Languages / Python, Computers / Programming / General, Computers / General, Computers / Reference",144937932X,9781449379322,,2106937,1635451,VND,ALLOWED,TRUE,TRUE
zCuODwAAQBAJ,Managerial Perspectives on Intelligent Big Data Analytics,N/A,"Sun, Zhaohao",IGI Global,,BOOK,335,en,"Computers / Database Administration & Management, Computers / Management Information Systems, Computers / General",1522572783,9781522572787,,6218886,4353220,VND,ALLOWED,FALSE,TRUE
ZOfnEAAAQBAJ,DevOps for Databases,A practical guide to applying DevOps best practices to data-persistent technologies,David Jambor,Packt Publishing Ltd,,BOOK,446,en,"Computers / System Administration / Backup & Recovery, Computers / Distributed Systems / Cloud Computing, Computers / Networking / General",183763789X,9781837637898,,907653,635357,VND,ALLOWED,TRUE,TRUE
